FLNC	autosomal dominant
LRRC23	autosomal recessive
SAMD7	autosomal recessive
CFAP61	autosomal recessive
ARMC12	autosomal recessive
DAW1	autosomal recessive
MINAR2	autosomal recessive
HECTD4	autosomal recessive
RNU12	autosomal recessive
CFAP74	autosomal recessive
IQCN	autosomal recessive
CENATAC	autosomal recessive
TMEM151A	autosomal dominant
LTV1	autosomal recessive
C18orf32	autosomal recessive
RAB5IF	autosomal recessive
TMEM63C	autosomal recessive
MYMX	autosomal recessive
CCDC146	autosomal recessive
C2CD6	autosomal recessive
TMEM53	autosomal recessive
CIROP	autosomal recessive
RPL10L	autosomal recessive
ZFYVE19	autosomal recessive
AOPEP	autosomal recessive
AFG2B	autosomal recessive
CLXN	autosomal recessive
PNLDC1	autosomal recessive
LMBRD2	autosomal dominant
PAPPA2	autosomal recessive
TMEM222	autosomal recessive
RRP7A	autosomal recessive
CATIP	autosomal recessive
SNORA31	autosomal dominant
LYSET	autosomal recessive
TMEM218	autosomal recessive
HRURF	autosomal dominant
ACTL9	autosomal recessive
C2orf69	autosomal recessive
HS3ST6	autosomal dominant
SLC7A6OS	autosomal recessive
TBC1D2B	autosomal recessive
CFAP58	autosomal recessive
YIF1B	autosomal recessive
M1AP	autosomal recessive
TTC5	autosomal recessive
HPDL	autosomal recessive
CLRN2	autosomal recessive
VPS35L	autosomal recessive
CEP112	autosomal recessive
TMEM163	autosomal dominant
CCDC32	autosomal recessive
ZNFX1	autosomal recessive
DALRD3	autosomal recessive
CEP85L	autosomal dominant
THG1L	autosomal recessive
CCDC134	autosomal recessive
TTC29	autosomal recessive
NEK10	autosomal recessive
NTNG2	autosomal recessive
TMEM63A	autosomal dominant
CFAP70	autosomal recessive
PERCC1	autosomal recessive
NUTM2B-AS1	autosomal dominant
METTL5	autosomal recessive
WDR37	autosomal dominant
TRIM71	autosomal dominant
RABL3	autosomal dominant
NDUFAF8	autosomal recessive
HEPHL1	autosomal recessive
USP45	autosomal recessive
ARMC2	autosomal recessive
REC114	autosomal recessive
FAM149B1	autosomal recessive
CAP2	autosomal recessive
TRAPPC14	autosomal recessive
CYBC1	autosomal recessive
PRDM10	autosomal dominant
RPL35	autosomal dominant
